xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Label	Cosine_Score	Pred_Label
PA00150	Abend-milch	Abendmilch	Substantiv	-	Milch, die am Abend gemolken wird	Trinken	1	0.8464	1.0000
PA00155	Abend-schoppen	Abendschoppen	Substantiv	-	Abendschoppen	Trinken	1	-0.0135	0.0000
PA00305	ab-heben	abheben	Verb	I2f	einen trinken	Trinken	1	0.9787	1.0000
PA00579	ab-saufen	absaufen	Verb	1a	oben heruntersaufen	Trinken	1	-0.0371	0.0000
PA00610	ab-schießen	abschießen	Verb	1c'a	einen (Wein) trinken	Trinken	1	0.9359	1.0000
PA00825	ab-trinken	abtrinken	Verb	1	von oben wegtrinken	Trinken	1	-0.0489	0.0000
PA00825	ab-trinken	abtrinken	Verb	2	ein Glas Bier oder Wein leeren	Trinken	1	0.8897	1.0000
PA01307	Alkohol	Alkohol	Substantiv	-	Alkohol	Trinken	1	0.8336	1.0000
PA01737	an-dudeln	andudeln	Verb	-	sich betrinken	Trinken	1	0.9163	1.0000
PA01739	an-duseln	anduseln	Verb	-	sich einen Dusel antrinken	Trinken	1	0.5228	1.0000
PA01829	an-feuchten	anfeuchten	Verb	2	einen trinken	Trinken	1	0.9787	1.0000
PA02138	an-rauchen	anrauchen	Verb	2	sich einen kleinen Rausch antrinken	Trinken	1	0.3509	0.0000
PA02174	an-säufeln	ansäufeln	Verb	-	sich einen kleinen Rausch antrinken	Trinken	1	0.3509	0.0000
PA02175	an-saufen	ansaufen	Verb	1	mit dem Saufen (Trinken) beginnen	Trinken	1	0.7761	1.0000
PA02175	an-saufen	ansaufen	Verb	3	sich volltrinken	Trinken	1	-0.0263	0.0000
PA02176	an-säuseln	ansäuseln	Verb	1	sich leicht betrinken	Trinken	1	0.7313	1.0000
PA02250	an-schwipsen	anschwipsen	Verb	-	sich einen Rausch antrinken	Trinken	1	0.3468	0.0000
PA02391	an-trudeln	antrudeln	Verb	2	sich betrinken	Trinken	1	0.9163	1.0000
PA02392	An-trunk	Antrunk	Substantiv		erster Trunk	Trinken	1	-0.0332	0.0000
PA02488	Apfel-, Äpfel-bumpes	Apfelbumpes, Äpfelbumpes	Substantiv	-	Apfelwein	Trinken	1	0.9615	1.0000
PA02492	Apfel-fiez	Apfelfiez	Substantiv	-	Apfelwein	Trinken	1	0.9615	1.0000
PA02502	Apfel-gückes	Apfelgückes	Substantiv	-	Apfelwein minderer Sorte	Trinken	1	0.9249	1.0000
