xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Label	Cosine_Score	Pred_Label
PA01307	Alkohol	Alkohol	Substantiv	-	Alkohol	Trinken	1	0.9771	1.0000
PB01633	be-hauen	behauen	Verb	2a	sich betrinken	Trinken	1	0.9809	1.0000
PB02869	Pferds-milch	Pferdsmilch	Substantiv	-	Stutenmilch	Trinken	1	0.9815	1.0000
PB03661	Bippel-henker	Bippelhenker	Substantiv	-	derbe Bez. für schlechten Kaffee	Trinken	1	0.9746	1.0000
PB03661	Bippel-henker	Bippelhenker	Substantiv	E2	Tresterwein, Haustrunk	Trinken	1	0.9590	1.0000
PB03731	Birnen-puff	Birnenpuff	Substantiv	-	Wein, den man aus Birnen (und Äpfeln) selbst hergestellt hat	Trinken	1	0.9412	1.0000
PB06125	Briester-milch	Briestermilch	Substantiv	-	erste Milch nach dem Kalben	Trinken	1	0.9629	1.0000
PB06369	prosten	prosten	Verb	1	trinken	Trinken	1	0.9972	1.0000
PB06562	Brühe	Brühe	Substantiv	3b	schlechter Kaffee	Trinken	1	0.9924	1.0000
PB06629	Brummelsbeerblätter-tee	Brummelsbeerblättertee	Substantiv	-	Brombeerblättertee	Trinken	1	0.9737	1.0000
PB06974	Büchsen-milch	Büchsenmilch	Substantiv	-	Büchsenmilch	Trinken	1	0.9816	1.0000
PB07510	bürsten	bürsten	Verb	2	trinken, zechen	Trinken	1	0.9676	1.0000
PD03746	Trauben-most	Traubenmost	Substantiv	-	Traubenmost	Trinken	1	0.9808	1.0000
PD04435	trinken	trinken	Verb	1b	regelmäßig und zuviel Alkohol trinken	Trinken	1	0.9588	1.0000
PD04718	Drücker-wein	Drückerwein	Substantiv	-	Tresterwein	Trinken	1	0.9817	1.0000
PD04804	Trunk	Trunk	Substantiv	2	Getränk	Trinken	1	0.9989	1.0000
PD04844	Druschel-schnaps	Druschelschnaps	Substantiv	-	Schnaps aus Stachelbeeren	Trinken	1	0.9554	1.0000
PD05604	Turko	Turko	Substantiv	2	Bez. für schlechten Wein	Trinken	1	0.9865	1.0000
PD05718	durstig, dürstig	durstig, dürstig	Adjektiv	-	durstig, dürstig	Trinken	1	0.9579	1.0000
PE00983	ein-tun	eintun	Verb	x'1.2a	einen Rausch antrinken	Trinken	1	0.9734	1.0000
PE01768	Erdbeeren-bowle, Erdbeer-bowle	Erdbeerenbowle, Erdbeerbowle	Substantiv	-	Erdbeerenbowle, Erdbeerbowle	Trinken	1	0.7629	1.0000
PF00505	Faß-wein	Faßwein	Substantiv	-	Wein direkt vom Faß	Trinken	1	0.9614	1.0000
