xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Label	Cosine_Score	Pred_Label
PA02175	an-saufen	ansaufen	Verb	3	sich volltrinken	Trinken	1	0.9203	1.0000
PA02579	Apparaten-milch	Apparatenmilch	Substantiv	-	Milch, die durch die Zentrifuge entrahmt ist	Trinken	1	0.9436	1.0000
PA03164	auf-laden	aufladen	Verb	1b	sich betrinken	Trinken	1	0.9827	1.0000
PB00145	Päckel-brühe	Päckelbrühe	Substantiv	-	schlechter Kaffee	Trinken	1	0.9911	1.0000
PB00514	bambuschieren	bambuschieren	Verb	-	zechen	Trinken	1	0.9718	1.0000
PB00549	Bamsche	Bamsche	Substantiv	-	sich betrinken	Trinken	1	0.9827	1.0000
PB01491	bechern	bechern	Verb	-	viel trinken, zechen	Trinken	1	0.9629	1.0000
PB01537	be-diaduseln	bediaduseln	Verb	-	betrinken	Trinken	1	0.9923	1.0000
PB01548	be-dudeln	bedudeln	Verb	2	betrinken	Trinken	1	0.9923	1.0000
PB01910	bemschen	bemschen	Verb	3	tüchtig trinken	Trinken	1	0.9826	1.0000
PB02495	be-tutern	betutern	Verb	-	sich betrinken	Trinken	1	0.9827	1.0000
PB03735	Birnen-schnackel	Birnenschnackel	Substantiv	-	verächtlich für schlechten Birnenwein	Trinken	1	0.9537	1.0000
PB03741	Birnen-wein	Birnenwein	Substantiv	-	Birnenwein	Trinken	1	0.9827	1.0000
PB04748	Böckser	Böckser	Substantiv	1b	Most, der in der Gärung das Süße verloren hat	Trinken	1	0.9477	1.0000
PB05724	Bratz	Bratz	Substantiv	-	schlechter Kaffee	Trinken	1	0.9911	1.0000
PB06562	Brühe	Brühe	Substantiv	2	Beeren-, Gemüsesaft	Trinken	1	0.9590	1.0000
PD01569	Tee	Tee	Substantiv	2	Kräutertee	Trinken	1	0.9914	1.0000
PD03753	Trauben-puff	Traubenpuff	Substantiv	-	Wein minderer Güte	Trinken	1	0.9724	1.0000
PD04291	Trester-most	Trestermost	Substantiv	-	Nachwein aus Traubentrestern	Trinken	1	0.9564	1.0000
PD04832	Druschelbeeren-wein	Druschelbeerenwein	Substantiv	-	Wein aus Stachelbeeren	Trinken	1	0.9578	1.0000
PE00282	Eichel-kaffee	Eichelkaffee	Substantiv	-	Kaffee-Ersatz aus gerösteten Eicheln	Trinken	1	0.9472	1.0000
PF01323	ver-dursteln	verdursteln	Verb	-	zur Löschung des Durstes verbrauchen	Trinken	1	0.5887	1.0000
PF01444	Vergiß-mein-nicht	Vergißmeinnicht	Substantiv	2a	Schnaps	Trinken	1	0.9910	1.0000
PF04532	Vor-lauf	Vorlauf	Substantiv	2	der beim Brennen zuerst ausfließende, sehr starke und ungenießbare Branntwein	Trinken	1	0.9259	1.0000
PG01528	Ge-lapper	Gelapper	Substantiv	x	Sauermilch	Trinken	1	0.9913	1.0000
PG02505	Ge-söff, -söffs, Ge-süff, -süffs	Gesöff, Gesöffs, Gesüff, Gesüffs	Substantiv	2	Getränk	Trinken	1	0.9992	1.0000
PH01966	heben	heben	Verb	I2c	einen Schoppen, einen Schnaps trinken	Trinken	1	0.9559	1.0000
PH06081	Holderblüten-tee, Holunderblüten-	Holderblütentee, Holunderblütentee	Substantiv	-	Tee aus Holunderblüten	Trinken	1	0.9612	1.0000
PH06408	Honig-limonade	Honiglimonade	Substantiv	-	mit Honig gesüßte Limonade	Trinken	1	0.9540	1.0000
PI00290	Item-wein	Itemwein	Substantiv	-	Wein, der bei der Versteigerung von Grundstücken ausgegeben wird	Trinken	1	0.9426	1.0000
PJ00363	Johann-Jakob	JohannJakob	Substantiv	2c	Schnaps	Trinken	1	0.9910	1.0000
PK00052	Kaffee-brühe	Kaffeebrühe	Substantiv	-	dünner Kaffee	Trinken	1	0.9824	1.0000
