xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Label	Cosine_Score	Pred_Label
PA00825	ab-trinken	abtrinken	Verb	2	ein Glas Bier oder Wein leeren	Trinken	1	0.7789	1.0000
PA01739	an-duseln	anduseln	Verb	-	sich einen Dusel antrinken	Trinken	1	0.9607	1.0000
PA02138	an-rauchen	anrauchen	Verb	2	sich einen kleinen Rausch antrinken	Trinken	1	0.9610	1.0000
PA04011	aus-schöppeln	ausschöppeln	Verb	-	zu Ende schöppeln, trinken	Trinken	1	0.9527	1.0000
PB00617	Bankerotts-brühe, Bankerott-brühe	Bankerottsbrühe, Bankerottbrühe	Substantiv	-	dünner, schlechter Kaffee	Trinken	1	0.9675	1.0000
PB01184	Bauch-bläser	Bauchbläser	Substantiv		schlechter Wein	Trinken	1	0.9917	1.0000
PB02066	Perl-kaffee	Perlkaffee	Substantiv	-	Schnaps	Trinken	1	0.9893	1.0000
PB02130	be-sabeln	besabeln	Verb	1	sich betrinken	Trinken	1	0.9811	1.0000
PB02133	be-saufen	besaufen	Verb	-	besaufen	Trinken	1	0.0073	0.0000
PB02160	be-schlagen	beschlagen	Verb	2	sich betrinken	Trinken	1	0.9811	1.0000
PB02172	be-schnussen	beschnussen	Verb	-	betrinken	Trinken	1	0.9918	1.0000
PB03008	Pflaster	Pflaster	Substantiv	4b	Erdbeerwein	Trinken	1	0.9805	1.0000
PB03844	Bitter-wasser	Bitterwasser	Substantiv	-	ein sehr bitter schmeckendes Mineralwasser	Trinken	1	0.9382	1.0000
PB03868	Bitzler	Bitzler	Substantiv	1	junger, noch gärender Wein	Trinken	1	0.9585	1.0000
PB04481	Blume	Blume	Substantiv	2g	Haustrunk	Trinken	1	0.9806	1.0000
PB04859	Bohnen-kaffee	Bohnenkaffee	Substantiv	-	Bohnenkaffee	Trinken	1	0.9470	1.0000
PB06313	Brombeerenlaub-tee	Brombeerenlaubtee	Substantiv	-	Brombeerenblättertee	Trinken	1	0.9665	1.0000
PD00309	Taglöhners-wein, Taglöhner-wein	Taglöhnerswein, Taglöhnerwein	Substantiv	-	Wein, den die im Taglohn Arbeitenden von den Weinbauern erhalten	Trinken	1	0.9403	1.0000
PD01407	Tausendgüldenkraut-tee	Tausendgüldenkrauttee	Substantiv	-	Tee aus Tausendguldenkraut	Trinken	1	0.9530	1.0000
PD01473	dawider-schütten	dawiderschütten	Verb	-	einen trinken	Trinken	1	0.9923	1.0000
PD02004	Teufels-gesöff, Teufel-gesöff	Teufelsgesöff, Teufelgesöff	Substantiv	-	Schnaps	Trinken	1	0.9893	1.0000
PD02923	Doppel-bock	Doppelbock	Substantiv	-	besonders starkes Bier	Trinken	1	0.9813	1.0000
PD03764	Trauben-wein	Traubenwein	Substantiv	-	Wein aus Traubenbeeren	Trinken	1	0.9658	1.0000
PD03870	Treber-most	Trebermost	Substantiv		Nachwein aus Traubentrestern	Trinken	1	0.9608	1.0000
PD04173	Dreimänner-wein	Dreimännerwein	Substantiv	-	schlechter, saurer Wein	Trinken	1	0.9673	1.0000
PD04576	Troll-schoppen	Trollschoppen	Substantiv	-	letzter Schoppen, der vor dem Nachhausegehen im Stehengetrunken wird	Trinken	1	0.6908	1.0000
PD04669	Trub, Trube	Trub, Trube	Substantiv	1	trüber Rückstand von Flüssigkeiten, bes. dergetrübte letzte Wein im Faß	Trinken	1	0.0307	0.0000
PD04691	Druck	Druck	Substantiv	3	durch Keltern gewonnener Most	Trinken	1	0.9619	1.0000
PD05716	dürsten, dursten	dürsten, dursten	Verb	-	dürsten, dursten	Trinken	1	0.9666	1.0000
PD05717	dursterig, dürsterig	dursterig, dürsterig	Adjektiv	x	durstig	Trinken	1	0.9813	1.0000
PE02211	Essenz	Essenz	Substantiv	1	Kaffee-Ersatz, Zichorie	Trinken	1	0.0991	0.0000
PF00457	Faß-böckser	Faßböckser	Substantiv	-	Wein mit unangenehmem Faßgeschmack	Trinken	1	0.9478	1.0000
PF01241	ver-bürsten	verbürsten	Verb	-	trinkend vergeuden	Trinken	1	0.8161	1.0000
PF01749	ver-kümmeln	verkümmeln	Verb	1b	durchbringen, vertrinken	Trinken	1	0.9568	1.0000
PF03163	Fiez	Fiez	Substantiv	1	Apfelwein	Trinken	1	0.9920	1.0000
PF03588	Flanz	Flanz	Substantiv	-	Milch	Trinken	1	0.9989	1.0000
PF05503	Früh-messe	Frühmesse	Substantiv	2a	Frühschoppen	Trinken	1	0.6901	1.0000
PG02505	Ge-söff, -söffs, Ge-süff, -süffs	Gesöff, Gesöffs, Gesüff, Gesüffs	Substantiv	1	schlechtes, minderwertiges Getränk	Trinken	1	0.9580	1.0000
PG03657	gorzen	gorzen	Verb	x1	trinken	Trinken	1	0.9999	1.0000
PH01743	Haus-blume	Hausblume	Substantiv	-	geringer Wein für den täglichen Hausgebrauch	Trinken	1	0.9572	1.0000
