xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Label	Cosine_Score	Pred_Label
PA02175	an-saufen	ansaufen	Verb	1	mit dem Saufen (Trinken) beginnen	Trinken	1	0.0312	0.0000
PA02176	an-säuseln	ansäuseln	Verb	1	sich leicht betrinken	Trinken	1	0.9716	1.0000
PA02488	Apfel-, Äpfel-bumpes	Apfelbumpes, Äpfelbumpes	Substantiv	-	Apfelwein	Trinken	1	0.9888	1.0000
PA02492	Apfel-fiez	Apfelfiez	Substantiv	-	Apfelwein	Trinken	1	0.9888	1.0000
PA02502	Apfel-gückes	Apfelgückes	Substantiv	-	Apfelwein minderer Sorte	Trinken	1	0.9887	1.0000
PA03037	Auf-enthalt	Aufenthalt	Substantiv	3	Schnaps	Trinken	1	0.9875	1.0000
PA03957	aus-saufen	aussaufen	Verb	1	leer saufen	Trinken	1	0.9466	1.0000
PB01216	Bauchweh-wasser	Bauchwehwasser	Substantiv	-	Zwetschgenschnaps	Trinken	1	0.9627	1.0000
PB01317	Bauern-wein	Bauernwein	Substantiv	-	Wein, den die Bauern für den eigenen Gebrauch herstellen	Trinken	1	0.9582	1.0000
PB01499	Pech-milch	Pechmilch	Substantiv	-	die erste gelbe Milch der Kuh nach dem Kalben	Trinken	1	0.9745	1.0000
PB02644	Pfand-wein	Pfandwein	Substantiv		verpfändeter Wein	Trinken	1	0.9902	1.0000
PB02931	pfiffeln	pfiffeln	Verb	2	ein kleines Glas Wein trinken	Trinken	1	0.9656	1.0000
PB04748	Böckser	Böckser	Substantiv	1a	von verdorbenem Kaffee	Trinken	1	0.9863	1.0000
PB04755	Böcksler	Böcksler	Substantiv	2	schlechter Kaffee	Trinken	1	0.9882	1.0000
PB05580	Brand	Brand	Substantiv	6e	brennender Durst	Trinken	1	0.9707	1.0000
PB05678	Brast	Brast	Substantiv	1.4	Durst	Trinken	1	0.9872	1.0000
PB07038	Buckskin	Buckskin	Substantiv	2	schlechter Wein	Trinken	1	0.9890	1.0000
PB07052	Pudel	Pudel	Substantiv	2.3	schlechter Kaffee	Trinken	1	0.9882	1.0000
PB07085	Puff	Puff	Substantiv	1.2	Haustrunk	Trinken	1	0.9783	1.0000
PB07282	Bumpes	Bumpes	Substantiv	1.4	schlechter Wein, Tresterwein	Trinken	1	0.9609	1.0000
PB07865	Butzicht-milch	Butzichtmilch	Substantiv	-	die erste dicke, unreine Milch der Kuh unmittelbar nach dem Kalben	Trinken	1	0.9792	1.0000
PD00533	Tal-wein	Talwein	Substantiv	-	Wein aus niedrigen Lagen	Trinken	1	0.9608	1.0000
PD03871	Treber-wein	Treberwein	Substantiv		aus Traubenrückständen unter Zusatz von Zucker und Wasser hergestellter Wein	Trinken	1	0.9624	1.0000
PD04171	Drei-männer	Dreimänner	Substantiv	-	schlechter, saurer Wein	Trinken	1	0.9657	1.0000
PD04433	Trink-branntwein	Trinkbranntwein	Substantiv	-	Branntwein zum Trinken	Trinken	1	0.9640	1.0000
PD04445	Trink-wasser	Trinkwasser	Substantiv	-	Trinkwasser	Trinken	1	0.9873	1.0000
PD05594	Türken-wein	Türkenwein	Substantiv		spöttische Bez. für den sehr sauren Wein des Jahres 1529	Trinken	1	0.9328	1.0000
PE00146	Edel-wein	Edelwein	Substantiv	-	Edelwein	Trinken	1	0.9884	1.0000
PE00499	ein-binden	einbinden	Verb	3	sich betrinken	Trinken	1	0.9809	1.0000
PF00455	Faß-bier	Faßbier	Substantiv	-	Bier aus dem Faß	Trinken	1	0.9816	1.0000
PF03326	firnzen	firnzen	Verb	-	einen trinken, schlagen	Trinken	1	0.9601	1.0000
PF04269	voll-saufen	vollsaufen	Verb	2	sich besinnungslos betrinken	Trinken	1	0.9799	1.0000
PF05096	Frei-bier	Freibier	Substantiv	-	Freibier	Trinken	1	0.8753	1.0000
PF05806	Fusel	Fusel	Substantiv	1.2	schlechter Wein	Trinken	1	0.9890	1.0000
PG00215	Gamaschen-wasser	Gamaschenwasser	Substantiv	-	Tee	Trinken	1	0.9942	1.0000
PG02934	Gichtrosen-wein	Gichtrosenwein	Substantiv	x	Wein aus Gichtrosen	Trinken	1	0.9868	1.0000
PG03417	glucksen	glucksen	Verb	2d'a	gierig und deutlich vernehmbar trinken	Trinken	1	0.9800	1.0000
PG04443	Grundbirnen-branntwein, Grundbirn-branntwein	Grundbirnenbranntwein, Grundbirnbranntwein	Substantiv	-	Kartoffelschnaps	Trinken	1	0.9790	1.0000
PH01730	Haupt-wein	Hauptwein	Substantiv	-	Qualitätswein	Trinken	1	0.9889	1.0000
PH02010	Heckenbeeren-tee	Heckenbeerentee	Substantiv	-	Brombeerentee	Trinken	1	0.9292	1.0000
