xml:id	Lemma	Wortart	Definition	Konzept	Konzept_gemappt	Antwort_Modell
EA00652	Amors	Substantiv	schlechter Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The dictionary entry ""Amors"" with the definition ""schlechter Schnaps"" refers to a type of alcoholic beverage. Therefore, it falls under the category **Getränk**.

Getränk"
ET01334	durstig	Adjektiv	durstig	Durst	Durst	"The word ""durstig"" refers to the state of being thirsty, which falls directly under the **Durst** category.

Answer: Durst"
ET01335	dürsterig, dürsterlich	Adjektiv	durstigmachend, durstbringend	Durst	Durst	"The words ""dürsterig"" and ""dürsterlich"" describe something that causes or brings about thirst. They fit into the **Durst** category as they relate directly to the state of being thirsty.

Answer: **Durst**"
LD01155	durschtisch	Adjektiv	durstig	Durst	Durst	"The word ""durschtisch"" means ""thirsty,"" which relates to the state of being thirsty. Therefore, it falls under the **Durst** category.

Answer: **Durst**"
PD05717	dursterig, dürsterig	Adjektiv	durstig	Durst	Durst	"The dictionary entry ""dursterig, dürsterig"" with the definition ""durstig"" refers to the state of being thirsty, which falls under the Durst category.

**Durst**"
PD05718	durstig, dürstig	Adjektiv	durstig, dürstig	Durst	Durst	"The dictionary entry ""durstig"" describes the state of being thirsty, fitting into the **Durst** category.

Answer: **Durst**"
PL01019	lech	Adjektiv	durstig	Durst	Durst	"The dictionary entry ""lech"" is defined as ""durstig,"" which falls under category 2, **Durst**, as it describes the state of being thirsty.

Answer: Durst"
PU00917	unter-irdisch	Substantiv	der aus Kartoffeln hergestellte Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The dictionary entry describes a specific type of schnapps, which falls under the category of beverages.

**Answer:** Getränk"
EF00900	Fusel	Substantiv	geringer, schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The term ""Fusel"" refers to a specific type of low-quality brandy, which falls under the category of beverages.

**Getränk**"
EF01024	Vitriol	Substantiv	schlechter Branntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The dictionary entry ""Vitriol"" refers to a type of brandy, which falls under the category of beverages.

**Answer:** Getränk"
EG00225	Rattengift	Substantiv	Schnaps	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose	Getränk	"The dictionary entry defines ""Rattengift"" as ""Schnaps,"" which refers to a type of alcoholic beverage. This fits under the category of specific beverages.

Answer: Getränk"
