xml:id	Lemma	Lemma_bereinigt	Wortart	Level	Definition	Konzept	Label	Cosine_Score	Pred_Label
PA01829	an-feuchten	anfeuchten	Verb	2	einen trinken	Trinken	1	0.9885	1.0000
PA02536	Apfel-, Äpfel-saft	Apfelsaft, Äpfelsaft	Substantiv	1	Apfelsaft, Äpfelsaft	Trinken	1	0.9513	1.0000
PA02627	Arbeiter-sekt	Arbeitersekt	Substantiv	-	Mineralwasser	Trinken	1	0.9874	1.0000
PA03882	aus-pitschen	auspitschen	Verb	-	austrinken	Trinken	1	0.9831	1.0000
PB01168	Batzen-wein	Batzenwein	Substantiv	-	minderwertiger Wein	Trinken	1	0.9688	1.0000
PB01838	be-ledern	beledern	Verb	-	betrinken	Trinken	1	0.9839	1.0000
PB04011	blasen	blasen	Verb	3	einen trinken	Trinken	1	0.9885	1.0000
PB04693	Bock-bier	Bockbier	Substantiv	-	Starkbier mit hohem Stammwürzegehalt	Trinken	1	0.9430	1.0000
PB04755	Böcksler	Böcksler	Substantiv	1	Wein mit Bodengeschmack	Trinken	1	0.9606	1.0000
PB05629	Brannte-wein, Brannt-wein	Branntewein, Branntwein	Substantiv	-	Branntewein, Branntwein	Trinken	1	0.9483	1.0000
PB07098	büffen	büffen	Verb	2	einen trinken	Trinken	1	0.9885	1.0000
PD01207	tätschern	tätschern	Verb	-	trinken	Trinken	1	0.9991	1.0000
PD03425	Drachen-töter	Drachentöter	Substantiv	-	schlechter Wein	Trinken	1	0.9887	1.0000
PD03596	Trank	Trank	Substantiv	1	Getränk	Trinken	1	0.9974	1.0000
PD04688	Trub-wein	Trubwein	Substantiv	-	der durch die Hefe getrübte letzte Wein im Faß	Trinken	1	0.9324	1.0000
PD05457	durch-saufen	durchsaufen	Verb	-	einen Zeitraum hindurch unmäßig trinken	Trinken	1	0.9390	1.0000
PD05551	durch-zechen	durchzechen	Verb	-	lange Zeit zechen	Trinken	1	0.0521	0.0000
PD05792	tutern	tutern	Verb	-	saufen	Trinken	1	0.9633	1.0000
PE00863	ein-schlürfen	einschlürfen	Verb	-	einschlürfen	Trinken	1	0.0377	0.0000
PE02096	Erz-engeler	Erzengeler	Substantiv	-	eine Weinbezeichnung	Trinken	1	0.6167	1.0000
PE02364	exen	exen	Verb	-	auf einen Zug austrinken	Trinken	1	0.9407	1.0000
